time,current,voltage
2.40155161,-2.34119562e-05,5.79870309
2.40355161,-2.29658204e-05,5.69586862
2.40555161,-2.25187859e-05,5.5921347
2.40755161,-2.20702038e-05,5.48751772
2.40955161,-2.16200969e-05,5.3820342
2.41155161,-2.11684897e-05,5.27570079
2.41355161,-2.07154063e-05,5.16853429
2.41555161,-2.02608704e-05,5.06055161
2.41755161,-1.98049053e-05,4.95176982
2.41955161,-1.93475338e-05,4.84220608
2.42155161,-1.88887781e-05,4.73187771
2.42355161,-1.84286604e-05,4.62080211
2.42555161,-1.79672021e-05,4.50899684
2.42755161,-1.75044246e-05,4.39647954
2.42955161,-1.70403486e-05,4.28326799
2.43155161,-1.65749946e-05,4.16938007
2.43355161,-1.61083827e-05,4.05483374
2.43555161,-1.56405326e-05,3.93964712
2.43755161,-1.51714636e-05,3.82383837
2.43955161,-1.47011948e-05,3.7074258
2.44155161,-1.42297448e-05,3.59042778
2.44355161,-1.37570682e-05,3.4728628
2.44555161,-1.32831417e-05,3.3547494
2.44755161,-1.28080073e-05,3.23610626
2.44955161,-1.23316926e-05,3.11695209
2.45155161,-1.18542252e-05,2.99730572
2.45355161,-1.13756319e-05,2.87718605
2.45555161,-1.08959392e-05,2.75661203
2.45755161,-1.04151728e-05,2.63560271
2.45955161,-9.93335821e-06,2.5141772
2.46155161,-9.45052022e-06,2.39235467
2.46355161,-8.96668321e-06,2.27015436
2.46555161,-8.48187112e-06,2.14759557
2.46755161,-7.99610741e-06,2.02469764
2.46955161,-7.50941512e-06,1.90148
2.47155161,-7.02164534e-06,1.77796208
2.47355161,-6.53272977e-06,1.65416341
2.47555161,-6.0427844e-06,1.53010352
2.47755161,-5.55188481e-06,1.40580202
2.47955161,-5.06010851e-06,1.28127852
2.48155161,-4.56753316e-06,1.15655269
2.48355161,-4.07423654e-06,1.03164423
2.48555161,-3.58029655e-06,0.906572863
2.48755161,-3.0857912e-06,0.781358336
2.48955161,-2.59079855e-06,0.656020423
2.49155161,-2.09539679e-06,0.530578917
2.49355161,-1.59966415e-06,0.405053626
2.49555161,-1.10367889e-06,0.279464373
2.49755161,-6.07519355e-07,0.153830989
2.49955161,-1.11263882e-07,0.028173313
2.50155161,3.85009161e-07,-0.0974888116
2.50355161,8.81221408e-07,-0.223135542
2.50555161,1.3772945e-06,-0.348747036
2.50755161,1.8731501e-06,-0.474303459
2.50955161,2.36870991e-06,-0.599784984
2.51155161,2.86389568e-06,-0.725171796
2.51355161,3.3586292e-06,-0.850444095
2.51555161,3.85283236e-06,-0.975582099
2.51755161,4.34642711e-06,-1.10056605
2.51955161,4.83933551e-06,-1.2253762
2.52155161,5.33147972e-06,-1.34999286
2.52355161,5.82278203e-06,-1.47439633
